id,fdc_id,fdc_id_of_input_food
10428,321358,319874
10429,321358,319879
10430,321358,319885
10431,321358,319894
10432,321358,319901
10433,321358,319921
10434,321358,319939
10435,321358,319958
10436,321358,319978
10437,321358,319984
10438,321358,320005
10439,321359,320025
10440,321359,320031
10441,321359,320037
10442,321359,320043
10443,321359,320062
10444,321359,320085
10445,321359,320104
10446,321359,320124
10447,321359,320143
10448,321359,320165
10449,321359,320172
10450,321359,320179
10451,321359,320185
10452,321359,320191
10453,321359,320197
10454,321359,320203
10455,321359,320210
10456,321359,320230
10457,321359,320253
10458,321359,320275
10459,321359,320298
10460,321359,320307
10461,321359,320313
10462,321359,320332
10481,321505,321361
10482,321505,321367
10483,321505,321373
10484,321505,321379
10485,321505,321384
10486,321505,321389
10487,321505,321394
10488,321505,321400
10489,321505,321406
10490,321505,321412
10491,321505,321417
10492,321505,321423
10493,321505,321429
10494,321505,321435
10495,321505,321441
10496,321505,321446
10497,321505,321452
10498,321505,321458
10499,321505,321464
10500,321505,321475
10501,321505,321481
10502,321505,321487
10503,321505,321493
10504,321505,321499
10505,321611,321506
10506,321611,321512
10507,321611,321521
10508,321611,321528
10509,321611,321538
10510,321611,321547
10511,321611,321557
10512,321611,321566
10513,321611,321573
10514,321611,321582
10515,321611,321591
10516,321611,321601
10517,321900,321612
10518,321900,321621
10519,321900,321631
10520,321900,321641
10521,321900,321651
10522,321900,321674
10523,321900,321693
10524,321900,321718
10525,321900,321763
10526,321900,321810
10527,321900,321845
10528,321900,321880
10529,322228,321901
10530,322228,321907
10531,322228,321913
10532,322228,321920
10533,322228,321940
10534,322228,321959
10535,322228,321978
10536,322228,322001
10537,322228,322020
10538,322228,322043
10539,322228,322049
10540,322228,322055
10541,322228,322061
10542,322228,322067
10543,322228,322073
10544,322228,322079
10545,322228,322085
10546,322228,322105
10547,322228,322128
10548,322228,322150
10549,322228,322173
10550,322228,322182
10551,322228,322188
10552,322228,322207
10553,322559,322229
10554,322559,322236
10555,322559,322243
10556,322559,322249
10557,322559,322268
10558,322559,322287
10559,322559,322306
10560,322559,322329
10561,322559,322349
10562,322559,322373
10563,322559,322379
10564,322559,322386
10565,322559,322392
10566,322559,322398
10567,322559,322404
10568,322559,322410
10569,322559,322416
10570,322559,322439
10571,322559,322448
10572,322559,322471
10573,322559,322492
10574,322559,322514
10575,322559,322520
10576,322559,322539
10577,322892,322560
10578,322892,322566
10579,322892,322588
10580,322892,322612
10581,322892,322628
10582,322892,322647
10583,322892,322666
10584,322892,322689
10585,322892,322696
10586,322892,322702
10587,322892,322708
10588,322892,322715
10589,322892,322721
10590,322892,322727
10591,322892,322734
10592,322892,322740
10593,322892,322763
10594,322892,322769
10595,322892,322793
10596,322892,322814
10597,322892,322836
10598,322892,322842
10599,322892,322851
10600,322892,322871
10601,323121,322893
10602,323121,322899
10603,323121,322910
10604,323121,322920
10605,323121,322937
10606,323121,322955
10607,323121,322965
10608,323121,322972
10609,323121,322992
10610,323121,323010
10611,323121,323027
10612,323121,323044
10613,323121,323054
10614,323121,323069
10615,323121,323085
10616,323121,323095
10617,323121,323105
10618,323294,323122
10619,323294,323129
10620,323294,323137
10621,323294,323146
10622,323294,323161
10623,323294,323178
10624,323294,323189
10625,323294,323205
10626,323294,323212
10627,323294,323230
10628,323294,323250
10629,323294,323265
10630,323294,323280
10631,323444,323295
10632,323444,323304
10633,323444,323311
10634,323444,323326
10635,323444,323342
10636,323444,323361
10637,323444,323370
10638,323444,323378
10639,323444,323393
10640,323444,323408
10641,323444,323425
10642,323505,323445
10643,323505,323451
10644,323505,323458
10645,323505,323473
10646,323505,323490
10647,323604,323506
10648,323604,323513
10649,323604,323520
10650,323604,323527
10651,323604,323534
10652,323604,323541
10653,323604,323548
10654,323604,323555
10655,323604,323562
10656,323604,323569
10657,323604,323576
10658,323604,323583
10659,323604,323590
10660,323604,323597
10661,323697,323605
10662,323697,323610
10663,323697,323616
10664,323697,323622
10665,323697,323627
10666,323697,323634
10667,323697,323641
10668,323697,323646
10669,323697,323651
10670,323697,323657
10671,323697,323663
10672,323697,323669
10673,323697,323674
10674,323697,323679
10675,323697,323685
10676,323697,323692
10677,323793,323698
10678,323793,323705
10679,323793,323711
10680,323793,323718
10681,323793,323724
10682,323793,323730
10683,323793,323736
10684,323793,323742
10685,323793,323748
10686,323793,323754
10687,323793,323760
10688,323793,323767
10689,323793,323774
10690,323793,323780
10691,323793,323787
10692,324038,323794
10693,324038,323802
10694,324038,323810
10695,324038,323818
10696,324038,323826
10697,324038,323833
10698,324038,323841
10699,324038,323847
10700,324038,323855
10701,324038,323863
10702,324038,323871
10703,324038,323879
10704,324038,323887
10705,324038,323896
10706,324038,323905
10707,324038,323914
10708,324038,323931
10709,324038,323947
10710,324038,323963
10711,324038,323972
10712,324038,323988
10713,324038,324003
10714,324038,324012
10715,324038,324021
10716,324157,324039
10717,324157,324053
10718,324157,324071
10719,324157,324091
10720,324157,324113
10721,324157,324135
10722,324317,324158
10723,324317,324165
10724,324317,324170
10725,324317,324177
10726,324317,324195
10727,324317,324214
10728,324317,324233
10729,324317,324252
10730,324317,324259
10731,324317,324278
10732,324317,324297
10733,324653,324318
10734,324653,324325
10735,324653,324332
10736,324653,324339
10737,324653,324352
10738,324653,324359
10739,324653,324366
10740,324653,324383
10741,324653,324401
10742,324653,324414
10743,324653,324421
10744,324653,324438
10745,324653,324445
10746,324653,324452
10747,324653,324459
10748,324653,324472
10749,324653,324485
10750,324653,324502
10751,324653,324508
10752,324653,324514
10753,324653,324529
10754,324653,324537
10755,324653,324545
10756,324653,324553
10757,324653,324561
10758,324653,324567
10759,324653,324575
10760,324653,324582
10761,324653,324590
10762,324653,324598
10763,324653,324606
10764,324653,324613
10765,324653,324621
10766,324653,324629
10767,324653,324637
10768,324653,324645
10769,324860,324654
10770,324860,324661
10771,324860,324668
10772,324860,324683
10773,324860,324689
10774,324860,324710
10775,324860,324726
10776,324860,324732
10777,324860,324748
10778,324860,324754
10779,324860,324760
10780,324860,324766
10781,324860,324781
10782,324860,324798
10783,324860,324805
10784,324860,324822
10785,324860,324838
10786,324860,324853
10787,325036,324861
10788,325036,324871
10789,325036,324881
10790,325036,324891
10791,325036,324913
10792,325036,324921
10793,325036,324940
10794,325036,324960
10795,325036,324970
10796,325036,324989
10797,325036,325007
10798,325036,325017
10799,325198,325037
10800,325198,325046
10801,325198,325061
10802,325198,325075
10803,325198,325096
10804,325198,325101
10805,325198,325107
10806,325198,325114
10807,325198,325119
10808,325198,325129
10809,325198,325133
10810,325198,325138
10811,325198,325148
10812,325198,325153
10813,325198,325157
10814,325198,325161
10815,325198,325164
10816,325198,325169
10817,325198,325173
10818,325198,325177
10819,325198,325181
10820,325198,325186
10821,325198,325190
10822,325198,325194
10823,325287,325199
10824,325287,325203
10825,325287,325208
10826,325287,325219
10827,325287,325224
10828,325287,325236
10829,325287,325248
10830,325287,325252
10831,325287,325263
10832,325287,325276
10833,325430,325288
10834,325430,325305
10835,325430,325323
10836,325430,325341
10837,325430,325360
10838,325430,325378
10839,325430,325396
10840,325430,325413
10841,325524,325431
10842,325524,325439
10843,325524,325449
10844,325524,325460
10845,325524,325479
10846,325524,325502
10847,325658,325525
10848,325658,325533
10849,325658,325541
10850,325658,325549
10851,325658,325559
10852,325658,325572
10853,325658,325580
10854,325658,325598
10855,325658,325609
10856,325658,325624
10857,325658,325641
10858,325871,325659
10859,325871,325669
10860,325871,325679
10861,325871,325689
10862,325871,325698
10863,325871,325708
10864,325871,325718
10865,325871,325725
10866,325871,325732
10867,325871,325739
10868,325871,325746
10869,325871,325753
10870,325871,325760
10871,325871,325767
10872,325871,325774
10873,325871,325781
10874,325871,325788
10875,325871,325795
10876,325871,325810
10877,325871,325825
10878,325871,325841
10879,325871,325856
10880,325992,325872
10881,325992,325881
10882,325992,325891
10883,325992,325910
10884,325992,325929
10885,325992,325948
10886,325992,325956
10887,325992,325970
10888,326135,325993
10889,326135,325998
10890,326135,326004
10891,326135,326010
10892,326135,326024
10893,326135,326030
10894,326135,326051
10895,326135,326057
10896,326135,326076
10897,326135,326082
10898,326135,326100
10899,326135,326114
10900,326196,326136
10901,326196,326141
10902,326196,326146
10903,326196,326151
10904,326196,326165
10905,326196,326180
10906,326458,326197
10907,326458,326217
10908,326458,326265
10909,326458,326237
10910,326458,326285
10911,326458,326314
10912,326458,326351
10913,326458,326333
10914,326458,326380
10915,326458,326399
10916,326458,326427
10917,326698,326459
10918,326698,326466
10919,326698,326473
10920,326698,326480
10921,326698,326487
10922,326698,326494
10923,326698,326510
10924,326698,326529
10925,326698,326537
10926,326698,326558
10927,326698,326572
10928,326698,326591
10929,326698,326605
10930,326698,326636
10931,326698,326667
10932,326905,326699
10933,326905,326724
10934,326905,326749
10935,326905,326780
10936,326905,326806
10937,326905,326832
10938,326905,326854
10939,326905,326880
10940,327046,326906
10941,327046,326918
10942,327046,326938
10943,327046,326959
