Group Name,Group ID
American Indian/Alaska Native Foods,3500
Baby Foods,0300
Baked Products,1800
Beef Products,1300
Beverages,1400
Breakfast Cereals,0800
Cereal Grains and Pasta,2000
Dairy and Egg Products,0100
Fast Foods,2100
Fats and Oils,0400
Finfish and Shellfish Products,1500
Fruits and Fruit Juices,0900
"Lamb, Veal, and Game Products",1700
Legumes and Legume Products,1600
"Meals, Entrees, and Side Dishes",2200
Nut and Seed Products,1200
Pork Products,1000
Poultry Products,0500
Restaurant Foods,3600
Sausages and Luncheon Meats,0700
Snacks,2500
"Soups, Sauces, and Gravies",0600
Spices and Herbs,0200
Sweets,1900
Vegetables and Vegetable Products,1100
